0,1,2,3,4,5,6,7,8
няма да бъда щяло,няма да бъдеш щяло,няма да бъде щяло,,,,,,
future perfect in the past,pos.,masc.,щях да съм щял,щеше да си щял,щеше да е щял,щяхме да сме щели,щяхте да сте щели,щяха да са щели
fem.,щях да съм щяла,щеше да си щяла,щеше да е щяла,,,,,
neut.,щях да съм щяло,щеше да си щяло,щеше да е щяло,,,,,
neg.,masc.,нямаше да съм щял,нямаше да си щял,нямаше да е щял,нямаше да сме щели,нямаше да сте щели,нямаше да са щели,
fem.,нямаше да съм щяла,нямаше да си щяла,нямаше да е щяла,,,,,
neut.,нямаше да съм щяло,нямаше да си щяло,нямаше да е щяло,,,,,
renarrative,аз,ти,той/тя/то,ние,вие,те,,
present and imperfect,masc.,щял съм,щял си,щял,щели сме,щели сте,щели,
fem.,щяла съм,щяла си,щяла,,,,,
neut.,щяло съм,щяло си,щяло,,,,,
aorist,masc.,щял съм,щял си,щял,щели сме,щели сте,щели,
fem.,щяла съм,щяла си,щяла,,,,,
neut.,щяло съм,щяло си,щяло,,,,,
future and future in the past,pos.,masc.,щял съм да ща,щял си да щеш,щял да ще,щели сме да щем,щели сте да щете,щели да щат
fem.,щяла съм да ща,щяла си да щеш,щяла да ще,,,,,
neut.,щяло съм да ща,щяло си да щеш,щяло да ще,,,,,
neg.,нямало да ща,нямало да щеш,нямало да ще,нямало да щем,нямало да щете,нямало да щат,,
present and past perfect,masc.,бил съм щял,бил си щял,бил щял,били сме щели,били сте щели,били щели,
fem.,била съм щяла,била си щяла,била щяла,,,,,
neut.,било съм щяло,било си щяло,било щяло,,,,,
future perfect and future perfect in the past,pos.,masc.,щял съм да съм щял,щял си да си щял,щял да е щял,щели сме да сме щели,щели сте да сте щели,щели да са щели
fem.,щяла съм да съм щяла,щяла си да си щяла,щяла да е щяла,,,,,
neut.,щяло съм да съм щяло,щяло си да си щяло,щяло да е щяло,,,,,
neg.,masc.,нямало да съм щял,нямало да си щял,нямало да е щял,нямало да сме щели,нямало да сте щели,нямало да са щели,
fem.,нямало да съм щяла,нямало да си щяла,нямало да е щяла,,,,,
neut.,нямало да съм щяло,нямало да си щяло,нямало да е щяло,,,,,
dubitative,аз,ти,той/тя/то,ние,вие,те,,
present and imperfect,masc.,бил съм щял,бил си щял,бил щял,били сме щели,били сте щели,били щели,
fem.,била съм щяла,била си щяла,била щяла,,,,,
neut.,било съм щяло,било си щяло,било щяло,,,,,
aorist,masc.,бил съм щял,бил си щял,бил щял,били сме щели,били сте щели,били щели,
fem.,била съм щяла,била си щяла,била щяла,,,,,
neut.,било съм щяло,било си щяло,било щяло,,,,,
future and future in the past,pos.,masc.,щял съм бил да ща,щял си бил да щеш,щял бил да ще,щели сме били да щем,щели сте били да щете,щели били да щат
fem.,щяла съм била да ща,щяла си била да щеш,щяла била да ще,,,,,
neut.,щяло съм било да ща,щяло си било да щеш,щяло било да ще,,,,,
neg.,нямало било да ща,нямало било да щеш,нямало било да ще,нямало било да щем,нямало било да щете,нямало било да щат,,
present and past perfect,none,,,,,,,
future perfect and future perfect in the past,pos.,masc.,щял съм бил да съм щял,щял си бил да си щял,щял бил да е щял,щели сме били да сме щели,щели сте били да сте щели,щели били да са щели
fem.,щяла съм била да съм щяла,щяла си била да си щяла,щяла била да е щяла,,,,,
neut.,щяло съм било да съм щяло,щяло си било да си щяло,щяло било да е щяло,,,,,
neg.,masc.,нямало било да съм щял,нямало било да си щял,нямало било да е щял,нямало било да сме щели,нямало било да сте щели,нямало било да са щели,
fem.,нямало било да съм щяла,нямало било да си щяла,нямало било да е щяла,,,,,
neut.,нямало било да съм щяло,нямало било да си щяло,нямало било да е щяло,,,,,
conclusive,аз,ти,той/тя/то,ние,вие,те,,
present and imperfect,masc.,щял съм,щял си,щял е,щели сме,щели сте,щели са,
fem.,щяла съм,щяла си,щяла е,,,,,
neut.,щяло съм,щяло си,щяло е,,,,,
aorist,masc.,щял съм,щял си,щял е,щели сме,щели сте,щели са,
fem.,щяла съм,щяла си,щяла е,,,,,
neut.,щяло съм,щяло си,щяло е,,,,,
future and future in the past,pos.,masc.,щял съм да ща,щял си да щеш,щял е да ще,щели сме да щем,щели сте да щете,щели са да щат
fem.,щяла съм да ща,щяла си да щеш,щяла е да ще,,,,,
neut.,щяло съм да ща,щяло си да щеш,щяло е да ще,,,,,
neg.,нямало е да ща,нямало е да щеш,нямало е да ще,нямало е да щем,нямало е да щете,нямало е да щат,,
present and past perfect,masc.,бил съм щял,бил си щял,бил е щял,били сме щели,били сте щели,били са щели,
fem.,била съм щяла,била си щяла,била е щяла,,,,,
neut.,било съм щяло,било си щяло,било е щяло,,,,,
future perfect and future perfect in the past,pos.,masc.,щял съм да съм щял,щял си да си щял,щял е да е щял,щели сме да сме щели,щели сте да сте щели,щели са да са щели
fem.,щяла съм да съм щяла,щяла си да си щяла,щяла е да е щяла,,,,,
neut.,щяло съм да съм щяло,щяло си да си щяло,щяло е да е щяло,,,,,
neg.,masc.,нямало е да съм щял,нямало е да си щял,нямало е да е щял,нямало е да сме щели,нямало е да сте щели,нямало е да са щели,
fem.,нямало е да съм щяла,нямало е да си щяла,нямало е да е щяла,,,,,
neut.,нямало е да съм щяло,нямало е да си щяло,нямало е да е щяло,,,,,
conditional,аз,ти,той/тя/то,ние,вие,те,,
masculine,бих щял,би щял,би щял,бихме щели,бихте щели,биха щели,,
feminine,бих щяла,би щяла,би щяла,,,,,
neuter,бих щяло,би щяло,би щяло,,,,,
imperative,-,ти,-,-,вие,-,,
,—,,,—,,,,
