0,1,2,3,4,5,6,7,8
neut.,нямаше да съм било,нямаше да си било,нямаше да е било,,,,,
renarrative,аз,ти,той/тя/то,ние,вие,те,,
present and imperfect,masc.,бил съм,бил си,бил,били сме,били сте,били,
fem.,била съм,била си,била,,,,,
neut.,било съм,било си,било,,,,,
aorist,masc.,бил съм,бил си,бил,били сме,били сте,били,
fem.,била съм,била си,била,,,,,
neut.,било съм,било си,било,,,,,
future and future in the past,pos.,masc.,щял съм да съм,щял си да си,щял да е,щели сме да сме,щели сте да сте,щели да са
fem.,щяла съм да съм,щяла си да си,щяла да е,,,,,
neut.,щяло съм да съм,щяло си да си,щяло да е,,,,,
neg.,нямало да съм,нямало да си,нямало да е,нямало да сме,нямало да сте,нямало да са,,
present and past perfect,none,,,,,,,
future perfect and future perfect in the past,pos.,masc.,щял съм да съм бил,щял си да си бил,щял да е бил,щели сме да сме били,щели сте да сте били,щели да са били
fem.,щяла съм да съм била,щяла си да си била,щяла да е била,,,,,
neut.,щяло съм да съм било,щяло си да си било,щяло да е било,,,,,
neg.,masc.,нямало да съм бил,нямало да си бил,нямало да е бил,нямало да сме били,нямало да сте били,нямало да са били,
fem.,нямало да съм била,нямало да си била,нямало да е била,,,,,
neut.,нямало да съм било,нямало да си било,нямало да е било,,,,,
dubitative,аз,ти,той/тя/то,ние,вие,те,,
present and imperfect,none,,,,,,,
aorist,none,,,,,,,
future and future in the past,pos.,masc.,щял съм бил да съм,щял си бил да си,щял бил да е,щели сме били да сме,щели сте били да сте,щели били да са
fem.,щяла съм била да съм,щяла си била да си,щяла била да е,,,,,
neut.,щяло съм било да съм,щяло си било да си,щяло било да е,,,,,
neg.,нямало било да съм,нямало било да си,нямало било да е,нямало било да сме,нямало било да сте,нямало било да са,,
present and past perfect,none,,,,,,,
future perfect and future perfect in the past,pos.,masc.,щял съм бил да съм бил,щял си бил да си бил,щял бил да е бил,щели сме били да сме били,щели сте били да сте били,щели били да са били
fem.,щяла съм била да съм била,щяла си била да си била,щяла била да е била,,,,,
neut.,щяло съм било да съм било,щяло си било да си било,щяло било да е било,,,,,
neg.,masc.,нямало било да съм бил,нямало било да си бил,нямало било да е бил,нямало било да сме били,нямало било да сте били,нямало било да са били,
fem.,нямало било да съм била,нямало било да си била,нямало било да е била,,,,,
neut.,нямало било да съм било,нямало било да си било,нямало било да е било,,,,,
conclusive,аз,ти,той/тя/то,ние,вие,те,,
present and imperfect,masc.,бил съм,бил си,бил е,били сме,били сте,били са,
fem.,била съм,била си,била е,,,,,
neut.,било съм,било си,било е,,,,,
aorist,masc.,бил съм,бил си,бил е,били сме,били сте,били са,
fem.,била съм,била си,била е,,,,,
neut.,било съм,било си,било е,,,,,
future and future in the past,pos.,masc.,щял съм да съм,щял си да си,щял е да е,щели сме да сме,щели сте да сте,щели са да са
fem.,щяла съм да съм,щяла си да си,щяла е да е,,,,,
neut.,щяло съм да съм,щяло си да си,щяло е да е,,,,,
neg.,нямало е да съм,нямало е да си,нямало е да е,нямало е да сме,нямало е да сте,нямало е да са,,
present and past perfect,none,,,,,,,
future perfect and future perfect in the past,pos.,masc.,щял съм да съм бил,щял си да си бил,щял е да е бил,щели сме да сме били,щели сте да сте били,щели са да са били
fem.,щяла съм да съм била,щяла си да си била,щяла е да е била,,,,,
neut.,щяло съм да съм било,щяло си да си било,щяло е да е било,,,,,
neg.,masc.,нямало е да съм бил,нямало е да си бил,нямало е да е бил,нямало е да сме били,нямало е да сте били,нямало е да са били,
fem.,нямало е да съм била,нямало е да си била,нямало е да е била,,,,,
neut.,нямало е да съм било,нямало е да си било,нямало е да е било,,,,,
conditional,аз,ти,той/тя/то,ние,вие,те,,
masculine,бих бил,би бил,би бил,бихме били,бихте били,биха били,,
feminine,бих била,би била,би била,,,,,
neuter,бих било,би било,би било,,,,,
imperative,-,ти,-,-,вие,-,,
,бъди,,,бъдете,,,,
